PMAID,name,lng,lat,Adult Fitness Equipment,Art in the Park,Baseball/Softball Fields,Basketball Courts,Dog Off Leash Areas,Drinking fountains,Fire Pits,Fishing piers,Football Fields,Gardens,Grills,Hand Carry Boat Launches,Motorized Boat Launches,Picnic Sites,Play Area,Restrooms,Skate Park,Soccer Fields,Spray Parks,Swimming Beaches,Tennis Courts,Track Fields,Trails,Views,Volleyball Courts,Wading Pools
482,Bryant Neighborhood Playground,-122.283644,47.675299,,,,yes,,yes,,,,,,,,,yes,,,,,,yes,,,,,
496,Burke-Gilman Playground Park,-122.282623,47.666634,,yes,,yes,,,,,,,,,,,yes,yes,,,,,,,,,,
3102,Cal Anderson Park and Bobby Morris Playfield,-122.319134,47.617013,,yes,yes,,,yes,,,,,,,,,yes,yes,,yes,,,yes,,,,,yes
448,California Place,-122.386696,47.585641,,,,,,,,,,,,,,,,,,,,,,,,,,
4154,Camp Long,-122.373161,47.556242,,,,,,yes,,,,,yes,,,,,yes,,,,,,,yes,,,
240,Carkeek Park,-122.379763,47.712194,,,,,,yes,,,,,yes,yes,,yes,yes,yes,,,,,,,yes,yes,,
305,Carleton Center,-122.406385,47.639414,,,,,,,,,,,,,,,,,,,,,,,,,,
4049,Carleton Highlands,-122.415934,47.650028,,,,,,,,,,,,,,,,,,,,,,,,,,
3902,Cascade Place,-122.358092,47.666216,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Cascade Playground,-122.332355,47.621405,,,,yes,,,,,,,,,,,yes,yes,,,,,,,,,,
4167,Cedar Park,-122.288042,47.725808,,,,,,yes,,,,,yes,,,,yes,,,,,,,,yes,,,
4448,Cesar Chavez Park,-122.32562,47.52678,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Charles Richey Sr Viewpoint,-122.413877,47.57242,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,
4214,Cheasty Boulevard,-122.299204,47.572682,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Cheasty GS: Cheasty Blvd,-122.299204,47.572682,,,,,,,,,,,,,,,,,,,,,,,yes,,,
421,Chinook Beach Park,-122.258376,47.520135,,,,,,,,,,,,,,,,,,,,,,,,yes,,
595,Christie Park,-122.319072,47.659308,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,
