PMAID,name,lng,lat,Adult Fitness Equipment,Art in the Park,Baseball/Softball Fields,Basketball Courts,Dog Off Leash Areas,Drinking fountains,Fire Pits,Fishing piers,Football Fields,Gardens,Grills,Hand Carry Boat Launches,Motorized Boat Launches,Picnic Sites,Play Area,Restrooms,Skate Park,Soccer Fields,Spray Parks,Swimming Beaches,Tennis Courts,Track Fields,Trails,Views,Volleyball Courts,Wading Pools
4434,Maple Leaf Community Garden,-122.322269,47.70326,,,,,,,,,,,,,,,,,,,,,,,,,,
3881,Maple Leaf Resevoir Park,-122.315613,47.689015,,yes,yes,,,,,,,,,,,,yes,yes,,yes,,,,,,,,
1630,Maple School Ravine,-122.308342,47.551071,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Maple Wood Playfield,-122.318845,47.560041,,,yes,yes,,yes,,,,,,,,,yes,yes,,yes,,,,,,,,
4447,Marra-Desimone Park,-122.329372,47.522124,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Marshall Park,-122.366805,47.629436,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,
432,Martha Washington Park,-122.260054,47.542398,,,,,,,,,,,,yes,,,,,,,,,,,yes,yes,,
3923,"Martin Luther King, Jr. Memorial",-122.297165,47.582756,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,
298,Marvin's Garden,-122.384972,47.667976,,yes,,,,,,,,,,,,,,,,,,,,,,,,
347,Matthews Beach Park,-122.271785,47.694564,,,,yes,,yes,,,,,yes,yes,,yes,yes,yes,,,,yes,,,yes,yes,,
321,Mayfair Park,-122.353356,47.643241,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,
3918,McClellan Place,-122.311648,47.578695,,,,,,,,,,,,,,,,,,,,,,,,,,
4013,McGilvra Boulevard,-122.282116,47.626925,,,,,,,,,,,,,,,,,,,,,,,,yes,,
4008,McGilvra Place,-122.313032,47.614233,,,,,,,,,,,,,,,,,,,,,,,,,,
339,McGraw Square,-122.337587,47.61299,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Meadowbrook Playfield,-122.293493,47.705771,,,yes,,,yes,,,,,,,,,yes,yes,,,,,yes,,yes,,,
268,Me-Kwa-Mooks Natural Area,-122.403424,47.563782,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Me-Kwa-Mooks Park,-122.404006,47.563167,,,,,,,,,,,yes,,,yes,,,,,,,,,yes,,,
1104,Meridian Playground,-122.332557,47.664159,,yes,,yes,,yes,,,,,yes,,,yes,yes,yes,,,,,,,,,,
373,Miller Playfield,-122.306261,47.621433,,yes,yes,yes,,yes,,,,,,,,,yes,,,yes,yes,,yes,,,,,
4015,Miller Triangle,-122.305711,47.620311,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Mineral Springs Park,-122.336528,47.705755,,yes,,,,,,,,,,,,,,,,,,,,,,,,
277,Mock Creek Ravine,-122.28962,47.699037,,,,,,,,,,,,,,,,,,,,,,,,,,
4021,Montlake Boulevard,-122.30474,47.645971,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Montlake Playfield,-122.310081,47.642407,yes,,yes,,,,,,yes,,,,,,yes,yes,,yes,,,yes,yes,,yes,,
4460,Morgan Junction,-122.387528,47.545507,,,,,,,,,,,,,,,,,,,,,,,,,,
419,Mt. Baker Park,-122.288481,47.580957,,yes,,,,yes,,yes,,,,,,,yes,yes,,,,yes,yes,,yes,,,
4427,Mt. Baker Ridge Viewpoint,-122.292616,47.589983,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,
4019,Mt. Claire Park,-122.28642,47.580737,,,,,,,,,,,,,,,,,,,,,,,,yes,,
311,Myrtle Edwards Park,-122.36087,47.618767,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,
4463,Myrtle Reservoir,-122.376716,47.539206,,,,,,,,,,,,,,,yes,,,,,,,,,,,
3916,Nantes Park,-122.397063,47.579565,,,,,,,,,,,,,,,,,,,,,,,,,,
4023,Nathan Hale Playfield,-122.292028,47.707715,,,,,,,,,,,,,,,,,,,,,,,,,,
3975,NE 60th Street Park,-122.322634,47.671728,,,,,,,,,,,,,,,,,,,,,,,,,,
4403,Nora's Woods,-122.294573,47.608732,,,,,,,,,,,,,,,,,,,,,,,,,,
247,North Beach Park,-122.390258,47.69471,,,,,,,,,,,,,,,,,,,,,,,,,,
2956,North Passage Point Park,-122.322428,47.653963,,,,,,,,,,,,,,,,,,,,,,,,yes,,
361,Northacres Park,-122.326124,47.721775,,,yes,,yes,yes,,,,,yes,,,yes,yes,yes,,yes,yes,,,,yes,,,
279,Northeast Queen Anne Greenbelt,-122.345011,47.635866,,,,,,,,,,,,,,,,,,,,,,,yes,,,
4445,Northgate Park,-122.322424,47.705194,,yes,,,,,,,,,,,,,,,,,,,,,,,,
4452,Northlake Park,-122.320826,47.654365,,,,,,,,,,,,,,,,,,,,,,,,yes,,
4161,Northwest 60th St. Viewpoint,-122.40656,47.672184,,,,,,,,,,,,,,,,,,,,,,,,yes,,
322,Observatory Courts,-122.355134,47.631342,,,,,,yes,,,,,,,,,,,,,,,,,,,,
323,Occidental Square,-122.333272,47.600463,,yes,,,,,,,,,,,,yes,yes,,,,,,,,,,,
4414,Olympic Sculpture Park,-122.35418,47.616577,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,Open Water Park,-122.386693,47.629555,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Orchard Street Ravine,-122.380151,47.538315,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Othello Playground,-122.278105,47.536214,,,,yes,,,,,,,yes,,,yes,yes,yes,,,,,,,,,,
4416,Oxbow Park,-122.321583,47.54499,,,,,,,,,,,,,,,yes,,,,,,,,,,,
4027,Park Home Circle,-122.305464,47.67005,,,,,,,,,,,,,,,,,,,,,,,,,,
4009,Parkmont Place,-122.410083,47.640142,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Parsons Gardens,-122.366082,47.629868,,,,,,,,,,yes,,,,,,,,,,,,,,,,
4029,Peace Park,-122.323616,47.65543,,yes,,,,,,,,,,,,,,,,,,,,,,,,
237,Pelly Place Natural Area,-122.39309,47.541492,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Peppi's Playground,-122.290602,47.602723,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,yes
274,Piers 62 and 63,-122.345237,47.608656,,,,,,,,yes,,,,,,,,,,,,,,,,yes,,
282,Pigeon Point Park,-122.356966,47.563271,,,,,,,,,,,,,,,,,,,,,,,yes,,,
382,Pinehurst Playground,-122.314628,47.716436,,,yes,yes,,yes,,,,,yes,,,,yes,,,yes,,,,,,,,
4444,Pinehurst Pocket Park,-122.308222,47.714186,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Pioneer Square,-122.333886,47.602076,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,
275,Pipers Creek Natural Area,-122.364699,47.714678,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Plum Tree Park,-122.299142,47.617053,,,,,,,,,,,,,,,yes,,,,,,,,,,,
4000,Plymouth Pillars Park,-122.329092,47.614124,,,,,yes,yes,,,,,,,,,,,,,,,,,,yes,,
345,Powell Barnett Park,-122.295998,47.605197,yes,,,yes,,yes,,,,,yes,,,,yes,yes,,,,,,,,,,yes
390,Pratt Park,-122.307257,47.601407,,yes,,yes,,,,,,,yes,,,yes,yes,yes,,,yes,,,,,,,
326,Prefontaine Place,-122.330883,47.601844,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,
357,Prentis I. Frazier Park,-122.301614,47.622895,,,,yes,,,,,,,,,,,yes,,,,,,,,,,,
420,Pritchard Island Beach,-122.26283,47.528948,,,,,,,,,,,,,,,,,,,,yes,,,yes,yes,,
4158,Puget Boulevard Commons,-122.365575,47.555356,,,,,,,,,,,,,,,yes,,,,,,,,,,,
3993,Puget Creek Greenspace,-122.358556,47.55187,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Puget Park,-122.356922,47.558473,,,,,,,,,,,,,,,,,,,,,,,yes,,,
4201,Puget Ridge Playground,-122.359947,47.547368,,,,,,yes,,,,,yes,,,,yes,,,,,,,,,,,
3984,Queen Anne Bowl Playfield,-122.359711,47.645599,,,,,,yes,,,,,,,,,,,,yes,,,,yes,,,,
4045,Rainbow Point,-122.320476,47.682713,,,,,,,,,,,,,,,,,,,,,,,,yes,,
422,Rainier Beach Playfield,-122.273136,47.525041,yes,,yes,,,yes,,,,,,,,,yes,yes,,yes,,,yes,,,,,
3999,Rainier Place,-122.359434,47.667567,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Rainier Playfield,-122.2862,47.561817,,,yes,yes,,yes,,,yes,,yes,,,,yes,yes,,,,,yes,,,,,
391,Ravenna Park,-122.305705,47.671404,,,yes,yes,,yes,,,,,yes,,,yes,yes,yes,,yes,,,yes,,yes,,,yes
4080,Ravenna Park Triangle,-122.30367,47.668089,,,,,,,,,,,,,,,,,,,,,,,,,,
254,Ravenna Ravine,-122.301707,47.674823,,,,,,,,,,,,,,,,,,,,,,,,,,
4411,Ravenna Woods,-122.303161,47.662559,,,,,,,,,,,,,,,,,,,,,,,,,,
488,Ravenna-Eckstein Park,-122.304964,47.676873,,yes,,yes,,yes,,,,,,,,,yes,,,yes,,,yes,,,,,
336,Regrade Park,-122.344776,47.614346,,yes,,,yes,yes,,,,,,,,,,,,,,,,,,,,
463,Riverview Playfield,-122.348688,47.54101,,,yes,yes,,yes,,,yes,,,,,,yes,yes,,yes,,,yes,,yes,,,
379,Roanoke Park,-122.320185,47.643723,,,,,,,,,,,,,,,yes,,,,,,,,,,,
9064,Roanoke St. Mini Park,-122.329327,47.643193,,,,,,yes,,,,,,,,,,,,,,,,,,,,
380,Rogers Playground,-122.325257,47.642601,,,yes,,,yes,,,,,,,,,yes,yes,,,,,yes,,,,,
248,Ross Playground,-122.361347,47.659718,,,yes,yes,,yes,,,,,,,,,yes,,,,,,,,,,,
4465,Rotary Viewpoint,-122.375859,47.560222,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,
464,Roxhill Park,-122.368881,47.519496,,,yes,,,,,,,,yes,,,yes,yes,yes,yes,yes,,,,,yes,,,
394,Sacajawea Playground,-122.308132,47.697132,,,,,,,,,,,,,,,yes,,,,,,,,,,,
249,Salmon Bay Park,-122.381343,47.679297,,,,,,yes,,,,,,,,,yes,yes,,,,,,,,,,
4242,Sam Smith Park,-122.297814,47.589982,yes,yes,,,,yes,,,,,,,,,yes,,,yes,,,yes,,,yes,,
250,Sandel Playground,-122.358701,47.695134,,yes,,yes,,yes,,,,,,,,,yes,yes,,,,,,,,,,yes
4236,Schmitz Boulevard,-122.405592,47.577899,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Schmitz Preserve Park,-122.400425,47.574375,,,,,,,,,,,,,,,,,,,,,,,yes,,,
455,Seacrest Park,-122.381226,47.589941,,,,,,yes,,yes,,,,yes,,,,yes,,,,,,,,yes,,
335,Seattle Aquarium,-122.342836,47.607411,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Seola Park,-122.374332,47.50039,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,
4466,Seven Hills Park,-122.312534,47.617684,,,,,,,,,,,yes,,,,,,,,,,,,,,,
428,Seward Park,-122.250639,47.54923,,yes,,,,yes,,yes,,,yes,yes,,yes,yes,yes,,,,yes,yes,,yes,yes,,
3928,Sierra Place,-122.282492,47.573282,,,,,,,,,,,,,,,,,,,,,,,,,,
4433,Smith Cove,-122.387679,47.632602,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,
4453,Solstice Park,-122.390347,47.536414,,,,,,yes,,,,,,,,,,,,,,,yes,,yes,,,
251,Soundview Playfield,-122.378878,47.695416,,,yes,,,yes,,,yes,,,,,,yes,yes,,yes,,,yes,,,yes,,yes
3987,Soundview Terrace,-122.37141,47.640849,,,,,,,,,,,,,,,yes,,,,,,,,,,,
4048,South Park Meadow,-122.323649,47.520795,,,,,,,,,,,,,,,,,,,,,,,,,,
467,South Park Playground,-122.324159,47.528016,,,yes,,,yes,,,,,yes,,,,yes,,,yes,,,yes,,,,yes,yes
377,South Passage Point Park,-122.322486,47.652087,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,
381,Spring Street Mini Park,-122.3124,47.611801,,,,,,,,,,,,,,,yes,,,,,,,,,,,
3117,Spruce Street Mini Park,-122.304648,47.603091,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,
2848,St. Mark's Greenbelt,-122.322174,47.63115,,,,,,,,,,,,,,,,,,,,,,,yes,,,
425,Stan Sayres Memorial Park,-122.277162,47.571222,,,,,,,,,,,,,,,,,,,,,,,,,,
3919,Stevens Place,-122.310563,47.577122,,,,,,,,,,,,,,,,,,,,,,,,,,
3981,Stevens Triangle,-122.283592,47.619443,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Sturgus Park,-122.314376,47.59409,,yes,,,,,,,,,,,,,,,,,,,,,,yes,,
290,Sturtevant Ravine,-122.268561,47.51783,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Summit Place,-122.325708,47.627081,,,,,,,,,,,,,,,,,,,,,,,,,,
4461,Summit Slope Park,-122.325298,47.619832,,,,,,,,,,,yes,,,,,,yes,,,,,,,,,
3903,Sunnyside Ave N Boat Ramp,-122.330723,47.650292,,,,,,,,,,,,,yes,,,,,,,,,,,yes,,
252,Sunset Hill Park,-122.400938,47.684034,,,,,,,,,,,,,,,,,,,,,,,,yes,,
3901,Sunset Place,-122.357602,47.666686,,,,,,yes,,,,,,,,,,,,,,,,,,,,
234,SW Queen Anne Greenbelt,-122.373209,47.633353,,,,,,,,,,,,,,,,,,,,,,,yes,,,
3913,T.T. Minor Playground,-122.310543,47.613111,,,,,,yes,,,,,,,,,yes,,,,,,,,,,,
384,Tashkent Park,-122.323444,47.62379,,,,,,,,,,,,,,,,,,,,,,,,,,
3889,Terry Pettus Park,-122.329689,47.636742,,,,,,,,,,,,yes,,,,,,,,,,,,yes,,
4014,Thayer Place,-122.250038,47.510613,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Thomas C. Wales Park,-122.344468,47.640523,,yes,,,,,,,,,,,,,,,,,,,,,,,,
386,Thomas St. Mini Park,-122.326216,47.621036,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Thorndyke Park,-122.390161,47.635099,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Thornton Creek Park #1,-122.307629,47.707034,,,,,,,,,,,,,,,,,,,,,,,yes,,,
4405,Thyme Patch Park,-122.395214,47.670709,,,,,,,,,,,,,,,,,,,,,,,,,,
3909,Tilikum Place,-122.347411,47.618382,,yes,,,,,,,,,,,,,,,,,,,,,,,,
4421,Trolley Hill Park,-122.347039,47.635143,,,,,,,,,,,,,,,yes,,,,,,,,,yes,,
4007,Union Station Square,-122.330086,47.599362,,,,,,,,,,,,,,,,,,,,,,,,,,
424,University Circle,-122.275181,47.67203,,,,,,,,,,,,,,,,,,,,,,,,,,
3998,University Lake Shore Place,-122.28006,47.718937,,,,,,,,,,,,,,,,,,,,,,,,,,
435,University Playground,-122.319312,47.664447,yes,yes,yes,,,yes,,,,,,,,,yes,yes,,yes,,,yes,,,,,
4451,Ursula Judkins Viewpoint,-122.390232,47.632049,,,,,,,,,,,,,,,,,,,,,,,,yes,,
431,Van Asselt Playground,-122.294068,47.539446,yes,yes,yes,yes,,yes,,,,,yes,,,,yes,yes,,yes,,,,,,,,yes
338,Victor Steinbrueck Park,-122.343869,47.610153,,yes,,,,yes,,,,,,,,,,,,,,,,,,yes,,
4443,Victory Creek Park,-122.315554,47.709155,,,,,,,,,,,,,,,,,,,,,,,,,,
438,Victory Heights Playground,-122.307834,47.705672,,,,,,yes,,,,,,,,,yes,,,,,,yes,,,,,
444,View Ridge Playfield,-122.279969,47.679747,,,yes,yes,,yes,,,,,,,,,yes,yes,,yes,,,,,,,,yes
3098,Viretta Park,-122.282003,47.61875,,,,,,,,,,,,,,,,,,,,,,,,,,
4002,Virgil Flaim Park,-122.299374,47.717955,,,,,,yes,,,,,yes,,,,yes,,,,,,,,,,,
399,Volunteer Park,-122.315568,47.630378,,yes,,,,yes,,,,yes,,,,,yes,yes,,,,,yes,,yes,,,yes
1000399,Volunteer Park Conservatory,-122.315708,47.632063,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Wallingford Playfield,-122.337444,47.658544,,,,,,yes,,,,,,,,,yes,yes,,yes,,,yes,,,,,yes
1000004,Wallingford Steps,-122.336152,47.647345,,,,,,,,,,,,,,,,,,,,,,,,,,
3941,Walt Hundley Playfield,-122.373415,47.54017,,yes,yes,,,yes,,,,,yes,,,,yes,yes,,yes,,,yes,,,,,
763,Ward Springs Park,-122.349245,47.627747,,,,,,,,,,,,,,,yes,,,,,,,,,yes,,
398,Warren G. Magnuson Park,-122.255084,47.680304,,yes,yes,,yes,yes,,,,,yes,yes,yes,yes,yes,yes,,yes,,yes,yes,,yes,yes,,yes
393,Washington Park Arboretum,-122.294835,47.636477,,yes,,,,,,,,yes,,yes,,,yes,yes,,,,,,,yes,yes,,
1100393,Washington Park Playfield,-122.293925,47.627064,,,,,,,,,,,,,,,,,,,,,,,,,,
4165,Washington Street Public Boat Landing,-122.336045,47.601007,,,,,,,,,,,,,,,,,,,,,,,,,,
3973,Waterfront Park,-122.342196,47.606778,,,,,,yes,,yes,,,,,,,,,,,,,,,,yes,,
4083,Waterway 19,-122.332567,47.646349,,,,,,,,,,,,,,,,,,,,,,,,,,
3966,Weather Watch Park,-122.409506,47.568247,,,,,,,,,,,,,,,,,,,,,,,,,,
3894,Webster Park,-122.397851,47.677832,,,,yes,,yes,,,,,,,,,yes,,,,,,,,,,,
3899,Wedgwood Square,-122.294772,47.688151,,,,,,,,,,,,,,,,,,,,,,,,,,
4401,West Duwamish Greenbelt,-122.356966,47.563271,,,,,,,,,,,,,,,,,,,,,,,yes,,,
3694,West Ewing Mini Park,-122.360602,47.65205,,,,,,yes,,,,,,,,,,,,,,,,,,yes,,
375,West Montlake Park,-122.30982,47.646219,,,,,,,,,,,,,,,,,,,,,,,,yes,,
330,West Queen Anne Playfield,-122.359504,47.635514,,,yes,,,yes,,,,,,,,,yes,,,yes,,,,,,,,
469,West Seattle Golf Course,-122.369657,47.55986,,,,,,,,,,,,,,,,,,,,,,,,,,
472,West Seattle Stadium,-122.374348,47.562826,,,,,,,,,yes,,,,,,,,,,,,,yes,,,,
468,Westcrest Park,-122.341719,47.525783,,yes,,,yes,,,,,,yes,,,yes,yes,yes,,,,,,,yes,,,
494,Westlake Greenbelt,-122.34338,47.641586,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Westlake Park,-122.33724,47.611099,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Westlake Square,-122.337285,47.613627,,,,,,,,,,,,,,,,,,,,,,,,,,
385,William Grose Park,-122.29294,47.618021,,,,,,,,,,,,,,,,,,,,,,,,,,
4016,Williams Place,-122.313094,47.619809,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Wolf Creek Ravine Natural Area,-122.352314,47.639775,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Woodland Park,-122.344218,47.668906,,,yes,,yes,yes,,,,,yes,,,yes,,yes,yes,yes,,,yes,yes,yes,,,
1000292,Woodland Park Rose Garden,-122.35054,47.666499,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Woodland Park Zoo,-122.35043,47.666183,,yes,,,,,,,,yes,,,,,yes,,,,,,,,,,,
4563,Yesler Playfield,-122.320083,47.601262,,,,,,,,,,,,,,,,,,,,,,,,,,
580,York Park,-122.295537,47.570461,,,,,,,,,,,,,,,,,,,,,,,,,,
3926,York Playground,-122.290713,47.572695,,,,,,,,,,,,,,,,,,,,,,,,,,
